id,intervention,sex,age,college,year,loc_1_bl,loc_2_bl,loc_3_bl,loc_4_bl,loc_5_bl,loc_6_bl,loc_7_bl,loc_8_bl,loc_9_bl,loc_10_bl,loc_1_fu,loc_2_fu,loc_3_fu,loc_4_fu,loc_5_fu,loc_6_fu,loc_7_fu,loc_8_fu,loc_9_fu,loc_10_fu,eff_1_bl,eff_2_bl,eff_3_bl,eff_4_bl,eff_5_bl,eff_1_fu,eff_2_fu,eff_3_fu,eff_4_fu,eff_5_fu
29,0,1,18,1,4,1,1,1,1,5,5,4,1,1,1,3,5,2,3,3,3,1,4,3,2,1,1,1,2,1,1,4,1,1,2
30,1,0,19,1,2,4,5,2,2,1,5,1,3,1,3,5,3,3,5,3,3,4,4,3,4,5,2,4,5,4,3,2,2,3,1
31,1,1,19,1,3,1,1,3,1,5,5,3,2,1,3,5,3,2,3,3,5,5,4,3,4,5,5,5,5,5,3,2,2,2,1
32,1,0,19,1,4,1,1,3,3,3,3,3,2,3,4,4,4,2,3,2,2,4,4,4,3,4,3,4,5,3,2,3,1,1,1
33,1,1,18,1,2,1,1,3,1,4,5,4,1,3,1,3,3,4,5,4,4,3,5,3,5,4,2,4,2,2,3,2,2,3,1
34,1,0,21,1,2,2,2,4,2,5,2,4,2,4,4,4,3,3,4,4,1,3,3,3,2,1,2,2,2,2,3,1,3,2,3
35,1,1,20,1,2,3,1,3,1,3,5,4,3,3,3,2,4,2,4,3,5,4,4,2,3,4,3,4,3,4,1,4,1,3,2
36,1,0,20,1,4,3,5,4,5,1,1,1,3,4,4,4,3,2,4,4,4,5,2,2,3,5,5,4,5,5,2,2,2,2,2
37,1,1,22,1,3,2,2,1,3,4,3,5,3,2,2,5,4,3,3,2,2,4,4,4,3,3,2,3,3,5,2,4,1,1,1
38,0,0,22,1,1,4,1,4,3,2,3,4,2,4,4,3,2,5,2,1,4,1,4,2,5,5,4,4,4,3,2,1,3,1,1
39,1,1,19,1,2,4,5,5,4,1,1,1,4,4,5,4,3,2,4,4,2,4,4,4,3,4,4,3,5,3,2,2,1,2,2
40,0,0,20,1,4,4,5,4,4,1,3,2,4,3,3,3,2,4,4,3,4,4,3,4,1,3,2,3,1,2,3,1,3,2,3
41,0,1,19,1,4,3,2,3,2,4,3,5,2,2,2,5,3,2,4,1,4,3,2,3,2,4,4,5,3,4,2,1,2,3,1
42,1,0,21,1,1,4,3,5,2,2,3,3,5,4,4,4,4,5,2,5,3,3,4,3,5,5,4,4,5,2,1,3,2,2,4
43,0,1,22,1,1,4,2,4,5,2,3,1,5,2,5,3,1,2,5,4,3,3,5,3,2,4,4,5,5,3,2,1,2,3,2
44,0,0,21,1,4,2,1,2,2,5,3,5,4,3,3,1,4,3,4,3,5,4,4,2,4,2,3,2,2,4,1,2,3,3,3
45,1,1,22,1,3,3,3,4,2,4,4,5,4,3,1,4,4,3,4,3,4,4,5,3,4,4,2,1,4,4,1,2,1,2,3
46,0,0,22,1,1,2,1,1,2,5,5,5,1,1,1,3,2,5,1,1,3,4,1,3,3,1,2,2,2,3,1,1,3,2,2
47,1,1,18,1,4,5,5,4,4,3,2,1,4,5,3,3,5,2,4,3,2,3,4,4,5,4,5,4,2,5,3,3,2,3,2
48,1,0,19,1,1,3,4,2,5,1,1,2,5,4,4,4,5,3,4,5,3,4,1,5,4,1,1,1,1,3,1,3,2,2,4
49,0,1,22,1,3,3,2,5,1,2,1,4,4,3,3,3,3,4,3,3,3,1,3,1,4,1,3,1,3,4,1,1,2,3,3
50,1,0,19,1,2,2,5,4,3,2,3,2,3,5,3,4,4,4,4,3,3,5,3,4,2,3,3,2,3,4,3,2,2,3,2
51,0,1,22,1,1,5,5,5,5,1,2,1,5,5,5,2,2,3,4,4,3,3,3,4,4,5,4,4,4,3,1,2,2,2,3
52,0,0,21,1,3,3,3,4,3,3,4,1,5,3,5,4,2,3,4,3,3,3,3,2,1,3,5,3,3,2,2,1,2,3,3
53,0,1,21,1,4,2,1,1,1,3,2,4,4,1,1,5,2,3,3,4,3,2,2,4,3,2,3,3,4,5,4,2,2,2,3
54,0,0,22,1,1,4,4,5,5,2,2,3,5,4,4,5,1,4,3,4,2,5,4,3,3,1,2,1,1,2,2,1,3,1,2
55,0,1,18,1,1,3,5,3,4,1,2,5,2,1,4,4,2,3,2,5,3,3,1,4,3,2,1,3,2,2,1,1,2,2,3
56,1,0,21,1,4,3,2,1,1,5,5,4,2,2,3,4,3,2,1,3,4,3,3,3,3,4,4,3,4,3,3,3,2,1,1
57,0,1,22,1,2,3,5,4,2,3,2,2,5,3,3,3,1,4,1,3,3,1,3,2,4,5,2,3,4,2,2,2,3,1,3
58,0,0,22,1,4,4,3,4,3,1,2,3,5,2,3,1,4,2,3,3,2,3,1,4,3,1,3,4,3,4,1,2,1,3,1
59,0,1,20,1,1,2,5,3,3,4,1,1,4,3,2,2,3,3,2,2,3,3,4,3,5,1,1,1,1,1,1,1,2,3,1
60,1,0,20,1,4,4,4,5,5,1,1,1,5,4,4,4,3,2,4,3,3,4,3,4,4,3,4,4,2,3,4,2,1,2,2
61,0,1,18,1,3,1,1,3,3,4,5,4,3,3,2,3,3,3,3,3,4,2,2,2,3,2,4,4,5,2,2,3,2,1,1
62,1,0,20,1,4,2,5,3,1,2,5,3,2,3,3,1,3,5,4,4,3,5,3,2,3,1,2,1,1,1,1,1,4,1,3
63,0,1,22,1,1,5,5,3,4,1,2,1,5,5,5,2,2,3,2,3,2,3,3,2,4,3,4,3,3,2,1,1,2,1,3
64,0,0,20,1,4,1,1,1,1,5,4,5,2,2,1,3,3,3,3,5,4,4,4,4,2,3,4,4,2,3,2,2,1,2,2
65,1,1,18,1,2,2,1,3,2,5,5,5,1,1,1,4,4,4,3,3,3,3,1,4,3,4,4,4,4,4,3,4,2,2,2
66,0,0,21,1,4,2,2,4,1,4,2,5,2,3,3,5,3,5,3,3,3,3,2,2,4,3,5,4,4,4,4,2,2,2,3
67,1,1,20,1,2,5,2,3,4,1,2,3,4,5,4,2,2,3,3,5,5,3,3,4,3,3,3,2,2,4,1,1,3,2,2
68,0,0,21,1,3,2,3,4,2,1,5,4,3,2,3,3,2,3,5,2,2,2,3,3,3,3,3,2,2,4,2,1,1,3,1
69,0,1,22,1,2,3,4,1,2,3,1,2,1,1,5,3,1,3,4,4,3,3,1,4,3,1,2,1,1,2,1,1,2,2,3
70,1,0,18,1,4,1,1,1,2,4,5,2,2,1,2,4,4,3,3,4,2,2,4,3,2,1,1,1,2,3,3,2,3,2,2
71,1,1,20,1,1,2,1,2,3,5,4,5,1,1,1,5,3,4,4,3,4,3,3,4,4,2,4,4,3,4,3,1,2,4,2
72,1,0,19,1,2,3,3,2,4,3,5,3,4,4,1,1,4,3,3,4,4,4,4,4,3,1,1,2,1,2,2,2,1,2,3
73,0,1,22,1,3,3,2,1,1,5,3,5,1,2,4,5,5,3,3,3,4,3,4,4,1,4,4,4,4,5,2,4,3,3,2
74,1,0,18,1,2,1,1,1,2,5,4,3,1,1,1,3,2,3,4,5,3,5,5,3,3,5,3,1,3,3,3,1,2,2,2
75,0,1,18,1,2,2,4,4,3,1,4,4,3,3,2,3,2,2,5,3,3,3,2,5,3,2,2,1,1,1,2,1,2,3,3
76,0,0,18,1,2,1,1,2,3,2,4,5,1,2,2,1,2,5,2,2,4,4,1,3,4,3,2,3,1,2,1,1,4,1,1
77,0,1,22,1,3,4,2,3,3,3,5,4,2,3,4,4,3,4,2,3,3,3,3,2,4,5,2,3,3,3,3,2,2,2,2
78,1,0,19,1,4,4,3,4,4,4,2,2,5,3,3,3,4,3,4,4,2,2,4,2,4,4,3,2,3,2,2,2,2,3,3
79,1,1,18,1,2,2,1,1,3,5,5,3,3,3,3,4,4,3,5,2,4,4,4,4,5,4,3,3,4,3,3,2,3,2,1
80,0,0,20,1,2,3,4,2,4,4,2,1,3,2,3,5,3,2,4,3,3,3,1,2,2,2,3,3,3,3,4,1,2,2,2
81,1,1,22,1,1,1,2,3,5,2,2,5,4,5,5,3,4,5,3,1,4,3,3,5,2,4,5,4,4,4,3,2,3,2,1
82,0,0,22,1,3,1,5,4,3,5,3,1,1,1,2,2,2,2,3,3,2,4,3,3,2,4,3,4,4,3,2,1,1,2,1
83,1,1,18,1,2,5,4,4,4,5,1,3,4,3,4,4,1,3,3,4,4,2,5,5,4,5,5,5,5,5,2,1,1,2,3
84,1,0,22,1,3,4,3,4,4,2,4,2,3,2,3,5,4,3,4,2,5,3,4,2,4,1,3,2,1,3,3,1,2,2,1
85,1,1,19,1,2,2,4,5,3,3,2,2,5,3,3,3,3,3,4,4,2,3,3,1,3,1,2,2,1,2,2,3,2,1,3
86,0,0,19,1,4,1,1,3,3,4,4,3,4,3,3,3,3,3,2,3,2,2,2,5,2,3,2,3,3,2,2,1,1,1,1
87,0,1,22,1,4,3,2,3,2,3,3,2,1,3,3,4,3,3,3,2,4,2,3,4,2,4,5,4,5,4,4,2,3,3,1
88,0,0,20,1,2,1,2,2,2,3,2,3,2,2,3,1,4,4,4,5,3,2,3,2,3,3,4,3,3,5,1,4,1,2,2
89,1,1,18,1,4,4,3,2,5,2,1,2,5,4,3,4,3,5,2,3,4,3,2,5,5,4,2,3,1,1,3,2,3,1,2
90,0,0,21,1,2,3,2,2,2,3,5,2,3,3,3,4,3,4,4,2,2,3,2,4,3,1,2,1,1,2,3,1,2,3,1
91,0,1,19,1,4,1,2,1,3,4,5,4,2,3,3,2,3,1,4,4,2,2,2,2,3,2,1,2,2,3,1,2,1,2,1
92,1,0,21,1,1,3,4,5,3,1,1,2,5,3,4,4,4,5,4,4,3,3,3,4,3,2,4,1,5,3,2,3,2,2,3
93,1,1,21,1,1,4,5,4,4,2,2,2,4,4,1,3,4,2,4,3,2,4,3,2,5,2,3,2,3,2,2,3,1,2,1
94,0,0,22,1,1,2,1,1,1,4,4,4,2,1,1,3,3,3,3,3,3,4,2,4,4,2,3,3,2,2,2,3,2,2,2
95,1,1,19,1,3,3,2,4,2,1,1,3,4,5,1,5,2,3,2,4,4,5,3,5,2,2,2,1,2,3,2,1,2,2,3
96,0,0,20,1,3,5,5,4,5,3,1,1,5,5,5,3,3,3,4,1,4,3,3,3,4,2,2,1,4,3,2,3,2,4,1
97,0,1,19,1,1,2,1,3,3,2,3,4,4,3,3,3,4,3,3,4,4,2,1,3,5,4,3,5,5,5,1,2,2,1,3
98,1,0,22,1,3,4,4,4,4,1,4,1,3,4,3,2,3,4,3,2,4,3,5,2,4,3,3,4,3,3,1,2,3,3,1
99,0,1,21,1,4,1,2,1,2,5,5,5,2,1,1,4,3,3,1,5,4,1,5,4,3,5,5,3,4,4,3,2,1,1,3
100,1,0,22,1,2,2,2,3,1,2,4,3,3,2,3,4,3,4,4,4,3,3,3,2,5,4,4,3,3,3,2,3,3,2,2
101,1,1,19,1,2,5,5,5,4,2,4,1,5,5,5,2,4,4,3,5,3,3,5,3,4,4,3,3,4,3,1,2,3,1,3
102,1,0,20,1,2,5,5,4,5,4,3,1,3,5,2,3,5,3,5,4,4,4,4,3,4,1,1,1,2,1,2,3,2,3,3
103,0,1,19,1,1,2,2,1,2,5,5,5,2,1,3,5,3,3,3,1,2,4,3,2,3,5,4,5,5,5,3,2,2,2,1
104,1,0,19,1,3,2,2,1,3,4,3,5,3,1,2,2,2,5,3,4,5,4,4,4,5,4,2,3,2,4,2,1,4,1,2
105,0,1,19,1,4,3,3,3,2,3,2,4,2,3,2,3,4,3,1,4,4,3,2,2,1,4,3,1,2,2,2,2,3,1,2
106,0,0,18,1,4,5,4,3,4,1,3,1,3,1,3,2,3,5,5,3,3,2,2,4,3,2,2,1,1,2,1,2,3,2,3
107,1,1,19,1,1,4,5,5,3,2,1,1,5,5,5,2,2,2,3,3,4,3,4,4,2,4,5,5,5,2,1,1,2,1,1
108,1,0,20,1,4,5,5,5,5,1,1,1,5,5,5,3,4,5,4,2,4,4,4,3,3,3,3,3,4,3,2,3,3,2,2
109,0,1,19,1,4,5,5,5,5,3,1,1,5,5,5,2,3,3,2,3,4,3,2,5,2,3,4,3,4,3,2,3,2,3,2
110,1,0,19,1,4,1,2,1,3,4,4,5,1,1,5,4,2,4,3,3,3,5,4,4,2,2,3,3,1,2,3,1,2,2,1
111,0,1,22,1,4,2,2,1,1,2,4,3,3,2,4,3,2,5,5,4,3,4,2,3,3,3,4,3,3,3,3,2,3,3,2
112,0,0,20,1,3,1,2,3,3,5,2,5,2,3,2,3,5,4,2,2,4,2,2,2,3,2,4,3,5,3,3,3,3,2,3
113,1,1,19,1,4,2,1,1,1,3,4,5,2,1,1,2,2,3,5,4,3,5,2,5,4,4,5,5,5,4,3,1,2,3,3
114,0,0,20,1,2,3,5,4,4,1,1,1,5,5,4,5,2,5,1,4,4,4,4,3,3,3,4,4,3,3,2,1,3,1,2
115,0,1,18,1,1,2,4,5,2,2,3,4,4,1,1,3,5,4,1,3,2,3,4,4,2,3,3,4,3,5,2,3,2,1,2
116,0,0,22,1,3,2,4,1,3,1,5,4,4,2,5,3,4,2,1,3,3,4,1,3,5,3,4,3,4,5,2,2,1,1,1
117,0,1,20,1,4,3,5,1,1,4,3,3,1,2,1,3,3,3,4,3,3,3,4,3,2,4,5,4,4,5,2,1,1,2,2
118,1,0,18,1,3,2,2,2,2,2,5,4,4,4,3,3,3,2,4,4,3,2,3,2,4,2,3,2,3,3,1,2,2,3,3
119,0,1,20,1,4,4,5,3,3,2,1,3,3,4,1,2,3,2,5,3,1,2,3,4,2,2,3,2,2,3,2,2,1,3,2
120,0,0,22,1,2,2,2,1,2,4,3,3,4,3,2,2,2,3,3,1,3,3,2,1,2,3,4,2,2,3,1,1,4,2,1
121,0,1,18,1,1,5,5,3,2,3,3,3,2,2,4,3,3,1,2,4,3,3,3,3,3,2,3,4,5,3,2,2,2,1,3
122,1,0,22,1,4,5,3,1,2,5,3,4,1,3,2,4,4,2,1,3,3,2,5,3,1,3,4,5,4,4,2,3,1,1,1
123,1,1,18,1,4,5,4,3,2,4,5,5,1,3,1,2,3,5,1,4,3,4,4,5,5,3,4,3,3,3,1,2,3,1,2
124,1,0,19,1,4,2,2,5,5,2,1,1,5,5,4,3,5,3,5,5,4,4,3,2,3,4,3,5,5,5,1,2,2,3,3
125,1,1,19,1,4,1,1,2,3,3,3,3,5,3,4,5,3,2,3,4,5,4,5,5,3,3,2,1,2,2,3,2,2,1,3
126,1,0,21,1,1,1,3,5,2,1,1,3,3,3,3,4,4,3,5,3,3,4,4,2,2,3,4,2,3,4,2,3,3,3,2
127,0,1,18,1,1,4,3,3,3,3,5,4,2,1,1,3,5,1,3,2,3,2,3,1,4,1,1,1,1,2,2,2,1,2,1
128,1,0,18,1,2,2,3,4,4,3,2,1,3,2,4,4,5,4,5,5,4,4,3,5,5,3,2,1,2,3,4,2,3,3,5
129,0,1,19,1,1,1,2,1,1,4,3,5,1,3,1,2,3,4,3,3,2,4,4,4,3,4,3,3,4,4,1,2,3,1,2
130,1,0,21,1,4,1,2,3,3,5,4,4,1,3,2,3,3,4,3,4,2,3,4,3,4,4,2,4,3,3,3,2,1,1,2
131,1,1,19,1,2,2,1,3,3,5,3,3,4,5,1,4,3,3,4,2,3,2,3,4,3,2,3,2,2,1,3,2,2,4,2
132,0,0,22,1,2,2,1,1,1,4,5,5,2,1,1,4,3,2,1,2,3,2,4,2,3,4,5,5,5,4,3,1,1,1,1
133,1,1,22,1,2,4,2,3,3,5,4,2,2,2,4,3,3,4,4,3,5,2,4,4,2,4,3,5,5,5,1,2,2,2,2
134,1,0,18,1,4,4,2,5,5,2,1,4,5,4,2,5,4,3,3,2,3,4,3,4,3,2,4,2,4,4,4,2,1,2,3
135,1,1,21,1,3,5,4,5,4,3,2,4,2,5,3,2,2,5,4,5,2,4,3,4,4,5,3,4,5,3,2,1,3,2,2
136,1,0,19,1,4,1,1,1,2,5,4,1,2,3,4,5,2,4,2,3,4,3,4,4,1,5,4,5,5,4,2,2,2,1,2
137,0,1,22,1,1,3,4,2,3,4,5,1,3,1,1,4,2,4,3,3,2,3,3,3,3,1,3,3,2,3,2,2,4,1,1
138,0,0,18,1,1,5,3,5,5,1,2,2,5,5,5,3,2,4,4,4,3,3,5,4,5,4,3,5,3,1,2,1,2,2,3
139,1,1,22,1,4,2,3,4,3,2,4,4,4,2,1,3,3,4,5,2,5,3,3,3,5,4,2,4,4,2,2,2,4,3,1
140,0,0,19,1,4,5,5,5,5,1,2,1,5,5,5,2,2,2,3,2,5,3,4,5,2,4,3,5,4,5,1,2,2,2,1
141,0,1,21,1,2,3,2,2,4,1,2,2,2,4,2,3,4,4,1,2,3,3,3,3,2,3,1,2,1,1,2,3,4,1,2
142,0,0,21,1,4,5,1,1,2,3,2,4,4,5,5,3,2,3,4,2,3,2,4,3,4,3,3,2,3,3,2,3,1,3,2
143,0,1,18,1,2,1,1,2,2,5,5,5,2,1,3,2,4,1,3,2,3,4,4,4,3,3,3,3,2,3,2,3,1,3,1
144,0,0,18,1,1,5,5,5,4,1,2,1,4,4,2,4,4,5,3,3,3,4,3,3,2,5,5,5,5,4,1,3,3,1,1
145,0,1,19,1,2,5,3,4,4,3,1,3,4,3,4,2,2,4,2,2,2,4,4,3,3,2,3,3,3,4,1,2,2,1,1
146,1,0,18,1,4,1,3,2,4,3,3,1,3,4,5,4,5,3,4,3,4,3,2,2,2,3,3,5,3,5,1,4,1,3,2
147,1,1,20,1,1,2,1,2,3,2,3,3,1,4,4,3,3,3,4,4,4,5,3,2,3,1,2,3,2,1,1,1,2,3,2
148,0,0,21,1,3,5,3,4,1,3,3,3,2,5,3,4,5,2,5,3,3,3,5,2,3,1,1,2,1,1,2,3,2,3,2
149,0,1,22,1,2,2,4,1,2,5,4,3,2,2,3,2,2,3,2,2,3,5,4,1,2,3,2,2,4,1,1,1,1,1,2
150,1,0,22,1,1,5,5,4,3,2,1,3,2,5,4,4,2,3,4,4,4,4,2,3,5,1,1,1,2,1,3,1,3,4,3
151,0,1,20,1,2,3,3,2,3,3,1,3,4,3,2,4,3,4,3,3,5,4,3,3,3,2,4,3,2,3,3,3,3,2,1
152,0,0,22,1,1,3,4,1,3,3,3,5,1,5,4,3,2,3,3,2,4,4,1,4,4,4,2,4,4,4,3,1,2,1,1
153,0,1,22,1,1,3,4,2,2,1,3,3,2,2,1,4,2,4,2,2,4,4,2,1,2,1,1,1,1,2,2,2,2,2,1
154,0,0,19,1,2,1,1,3,2,4,5,5,1,2,1,3,5,3,3,1,3,2,4,4,3,3,3,4,3,4,3,2,2,2,1
155,1,1,22,1,3,4,3,3,3,4,3,4,3,5,3,2,4,4,3,5,4,2,4,4,2,2,3,1,3,4,1,2,2,2,3
156,0,0,20,1,1,2,1,3,2,5,5,4,1,2,3,3,4,2,3,3,3,4,4,4,4,2,3,2,1,1,1,4,3,1,1
157,1,1,19,1,1,2,2,4,3,4,4,3,3,3,1,4,5,4,3,3,4,2,4,2,4,5,3,5,5,4,2,3,4,2,2
158,1,0,19,1,1,5,5,3,4,3,2,1,4,5,4,4,3,5,4,2,4,3,2,3,3,2,2,3,1,2,4,1,3,3,2
159,0,1,20,1,3,2,2,4,5,3,1,3,4,3,2,4,1,2,1,3,3,4,3,4,2,4,5,3,3,3,2,1,1,1,2
160,0,0,18,1,3,3,4,4,4,4,3,4,3,5,2,4,1,3,2,4,2,3,2,3,3,2,2,1,1,2,2,1,3,1,2
161,0,1,19,1,4,1,2,1,2,2,5,5,2,1,2,4,3,2,5,2,3,2,4,2,2,2,3,2,1,1,2,1,2,3,2
162,0,0,18,1,2,1,3,1,2,4,5,5,2,2,4,3,3,2,4,1,3,4,3,3,3,2,1,1,1,2,1,2,1,2,1
163,0,1,20,1,3,4,1,1,4,3,4,3,1,3,1,3,4,3,3,3,3,3,4,2,3,1,1,1,2,2,1,2,2,3,3
164,1,0,19,1,2,1,1,1,3,5,5,5,2,1,1,4,3,2,3,4,5,4,4,5,3,4,4,4,5,5,2,3,2,2,3
165,0,1,18,1,4,3,4,1,5,3,2,1,4,5,5,2,4,4,3,3,5,3,3,3,4,1,3,2,3,2,1,2,3,2,3
166,1,0,22,1,2,3,1,1,4,5,4,3,2,1,1,4,3,3,5,4,3,4,3,4,2,3,1,2,3,2,3,3,2,2,2
167,1,1,19,1,3,3,5,3,5,2,2,2,5,5,3,4,5,2,4,4,4,3,3,4,5,2,4,5,5,3,3,2,1,2,2
168,1,0,20,1,2,3,3,2,1,5,3,4,4,4,3,5,2,4,2,2,4,3,4,4,3,2,2,1,2,1,3,1,2,1,1
169,1,1,19,1,3,5,3,1,4,3,3,2,4,5,3,4,3,4,4,2,4,2,3,5,2,2,1,3,3,1,3,2,3,3,2
170,1,0,20,1,2,3,5,5,5,4,2,1,3,4,4,2,5,4,3,4,4,4,3,5,3,4,5,5,4,5,2,3,3,1,2
171,1,1,21,1,3,2,2,4,3,3,3,2,2,5,4,3,3,4,5,5,4,3,1,2,4,1,2,1,1,2,2,2,2,3,1
172,1,0,22,1,3,4,2,3,1,2,1,5,3,3,2,5,3,5,3,4,4,3,3,3,4,4,5,3,5,2,4,2,4,1,1
173,1,1,20,1,2,4,4,2,4,2,5,5,2,2,2,4,2,5,4,2,3,3,3,3,4,5,2,3,2,5,3,1,3,1,1
174,1,0,20,1,4,4,4,4,4,4,5,2,5,3,2,2,2,4,3,5,3,4,2,4,4,2,1,1,1,3,1,1,3,2,3
175,0,1,20,1,1,4,4,3,4,3,4,2,3,3,5,5,2,4,5,4,3,3,3,3,5,5,4,5,5,5,3,1,3,2,3
176,0,0,20,1,4,2,2,4,4,2,3,1,1,3,4,3,2,2,2,4,3,3,3,2,4,2,3,4,3,4,3,1,1,2,3
177,0,1,21,1,2,2,3,3,4,5,4,4,1,5,5,1,4,1,3,2,3,2,3,3,2,2,2,3,2,4,1,2,1,3,1
178,1,0,20,1,4,2,1,1,1,5,5,5,1,3,2,4,3,3,4,4,4,4,3,5,3,1,3,3,4,3,2,1,2,3,3
179,0,1,22,1,3,5,5,4,4,1,1,4,3,5,3,2,2,3,2,3,3,2,4,3,4,4,4,4,4,3,1,1,3,3,2
180,0,0,21,1,1,5,4,5,5,3,1,2,5,3,4,3,2,4,4,3,4,3,2,2,4,2,2,2,1,2,1,2,4,2,2
181,0,1,18,1,2,3,3,4,4,1,2,5,2,3,5,2,3,3,4,1,3,2,4,3,2,4,1,2,2,3,1,2,3,2,2
182,0,0,22,1,2,3,3,2,3,1,3,4,3,4,5,4,2,3,4,3,4,3,3,3,4,5,4,5,2,4,2,1,2,3,3
183,1,1,18,1,2,1,2,5,4,2,2,3,5,3,2,4,1,2,2,2,1,4,5,4,4,1,2,1,2,1,2,1,1,1,1
184,0,0,21,1,1,4,4,5,5,4,1,3,5,5,2,3,3,3,3,3,4,2,3,2,3,3,4,5,2,4,2,2,2,1,2
185,1,1,18,1,3,5,5,5,4,1,1,3,5,4,4,3,4,1,3,4,2,3,3,3,4,1,2,2,2,1,2,2,1,2,3
186,0,0,18,1,2,4,3,3,5,1,3,5,4,1,3,4,2,4,2,3,1,1,1,3,2,1,2,2,1,2,2,1,2,3,1
187,0,1,20,1,4,5,5,3,3,2,2,3,2,5,3,3,3,2,3,3,3,3,3,4,4,4,5,5,5,5,2,1,1,3,2
